country_id,display_name,tags,series
'afg','afghanistan','none','base'
'alb','albania','none','base'
'arg','argentina','none','base'
'aus','australia','none','base'
'aut','austria','none','base'
'bel','belgium','none','base'
'bgr','bulgaria','none','base'
'bmu','bermuda','none','base'
'bol','bolivia','none','base'
'bra','brazil','none','base'
'can','canada','none','base'
'che','switzerland','none','base'
'chl','chile','none','base'
'chn','china','none','base'
'col','colombia','none','base'
'com','comoros','none','base'
'cri','costa rica','none','base'
'csk','czechoslovakia','none','base'
'cub','cuba','none','base'
'cuw','curacao','none','base'
'cyp','Cyprus','none','base'
'deu','germany','none','base'
'dnk','denmark','none','base'
'ecu','ecuador','none','base'
'egy','egypt','none','base'
'eri','eritrea','none','base'
'esp','spain','none','base'
'est','estonia','none','base'
'eth','ethiopia','none','base'
'fin','finland','none','base'
'fji','fiji','none','base'
'fra','france','none','base'
'gbr','great britain','none','base'
'grc','greece','none','base'
'gtm','guatemala','none','base'
'haw','hawaii','none','base'
'hkg','hong kong','none','base'
'hnd','honduras','none','base'
'hti','haiti','none','base'
'hun','hungary','none','base'
'ind','india','none','base'
'irl','ireland','none','base'
'irn','iran','none','base'
'irq','iraq','none','base'
'isl','iceland','none','base'
'isr','israel','none','base'
'ita','italy','none','base'
'jam','jamaica','none','base'
'jpn','japan','none','base'
'khm','cambodia','none','base'
'kor','korea','none','base'
'kwt','kuwait','none','base'
'lbn','lebanon','none','base'
'lbr','liberia','none','base'
'lie','liechtenstein','none','base'
'ltu','lithuania','none','base'
'lux','luxembourg','none','base'
'lva','latvia','none','base'
'mac','macau','none','base'
'mar','morocco','none','base'
'mex','mexico','none','base'
'mmr','myanmar','none','base'
'mng','mongolia','none','base'
'nfl','newfoundland','none','base'
'nld','netherlands, the','none','base'
'nor','norway','none','base'
'npl','nepal','none','base'
'nzl','new zealand','none','base'
'pan','panama','none','base'
'per','peru','none','base'
'phl','philippines','none','base'
'pol','poland','none','base'
'prt','portugal','none','base'
'pry','paraguay','none','base'
'rou','romania','none','base'
'rus','russia','none','base'
'sau','saudi arabia','none','base'
'slv','el salvador','none','base'
'srb','serbia','none','base'
'sur','suriname','none','base'
'swe','sweden','none','base'
'syr','syria','none','base'
'tha','thailand','none','base'
'tur','turkey','none','base'
'uar','united arab republic','none','base'
'ury','uruguay','none','base'
'usa','united states of america','none','base'
'ven','venezuela','none','base'
'zaf','south africa','none','base'
