denomination_id,name
'afg_abbasi','abbasi'
'afg_abbasi','abbasis'
'afg_afghani','afghani'
'afg_afghani','afghanis'
'afg_habibi','habibi'
'afg_habibi','habibis'
'afg_qiran','qiran'
'afg_qiran','qirans'
'afg_rupee','rupee'
'afg_rupee','rupees'
'afg_sanar','sanar'
'afg_sanar','sanars'
'afg_tilla','tilla'
'afg_tilla','tillas'
'alb_frang ar','frang ar'
'alb_frang ar','franga ar'
'alb_lek','lek'
'arg_argentino','argentino'
'arg_argentino','argentinos'
'arg_centavo','centavo'
'arg_centavo','centavos'
'arg_peso','peso'
'arg_peso','pesos'
'aus_crown','crown'
'aus_crown','crowns'
'aus_florin','florin'
'aus_florin','florins'
'aus_penny','penny'
'aus_penny','pence'
'aus_shilling','shilling'
'aus_shilling','shillings'
'aus_sovereign','sovereign'
'aus_sovereign','sovereigns'
'aut_dukat','dukat'
'aut_dukat','dukaten'
'aut_florin','florin'
'aut_florin','florins'
'aut_kreuzer','kreuzer'
'aut_krone','krone'
'aut_krone','kronen'
'aut_schilling','schilling'
'aut_schilling','schillings'
'aut_vereinsthaler','vereinsthaler'
'bel_centime','centime'
'bel_centime','centimes'
'bel_franc','franc'
'bel_franc','francs'
'bgr_lev','lev'
'bgr_lev','leva'
'bgr_stotinka','stotinka'
'bgr_stotinka','stotinki'
'bmu_crown','crown'
'bmu_crown','crowns'
'bol_boliviano','boliviano'
'bol_boliviano','bolivianos'
'bol_centavo','centavo'
'bol_centavo','centavos'
'bol_centavo','centecimo'
'bol_centavo','centecimos'
'bol_escudo','escudo'
'bol_escudo','escudos'
'bol_melgarejo','melgarejo'
'bol_melgarejo','melgarejos'
'bol_onza','onza'
'bol_onza','onzas'
'bol_sol','sol'
'bol_sol','soles'
'bra_real','real'
'bra_real','reis'
'can_cent','cent'
'can_cent','cents'
'can_dollar','dollar'
'can_dollar','dollars'
'can_sovereign','sovereign'
'can_sovereign','sovereigns'
'che_franc','franc'
'che_franc','francs'
'chl_centavo','centavo'
'chl_centavo','centavos'
'chl_decimo','decimo'
'chl_decimo','decimos'
'chl_peso','peso'
'chl_peso','pesos'
'chn_cent','cent'
'chn_cent','cents'
'chn_chio','chio'
'chn_dollar','dollar'
'chn_dollar','dollars'
'chn_yuan','yuan'
'col_centavo','centavo'
'col_centavo','centavos'
'col_decimo','decimo'
'col_decimo','decimos'
'col_peso','peso'
'col_peso','pesos'
'col_real','real'
'col_real','reales'
'com_franc','franc'
'com_franc','francs'
'cri_centavo','centavo'
'cri_centavo','centavos'
'cri_colon','colon'
'cri_colon','colones'
'cri_escudo','escudo'
'cri_escudo','escudos'
'cri_onza','onza'
'cri_onza','onzas'
'cri_peso','peso'
'cri_peso','pesos'
'csk_dukat','dukat'
'csk_dukat','dukaty'
'csk_dukat','dukatu'
'csk_koruna','koruna'
'csk_koruna','korun'
'cub_centavo','centavo'
'cub_centavo','centavos'
'cub_peso','peso'
'cub_peso','pesos'
'cuw_gulden','gulden'
'cuw_gulden','guilder'
'cuw_gulden','florin'
'cyp_piastre','piastre'
'cyp_piastre','piastres'
'deu_mark','mark'
'deu_mark','marks'
'deu_pfennig','pfennig'
'deu_pfennig','pfennigs'
'dnk_christian d\'or','christian d\'or'
'dnk_christian d\'or','christian'
'dnk_christian d\'or','d\'or'
'dnk_krone','krone'
'dnk_krone','kroner'
'dnk_ore','ore'
'ecu_centavo','centavo'
'ecu_centavo','centavos'
'ecu_condor','condor'
'ecu_decimo','decimo'
'ecu_decimo','decimos'
'ecu_sucre','sucre'
'ecu_sucre','sucres'
'egy_ghirsh','ghirsh'
'egy_ghirsh','qirsh'
'egy_ghirsh','piastre'
'egy_pound','pound'
'egy_pound','pounds'
'eri_centisimo','centisimo'
'eri_centisimo','centesimi'
