denomination_id,country_id,display_name,tags,series
'afg_abbasi','afg','abbasi','none','base'
'afg_afghani','afg','afghani','none','base'
'afg_habibi','afg','habibi','none','base'
'afg_qiran','afg','qiran','none','base'
'afg_rupee','afg','rupee','none','base'
'afg_sanar','afg','sanar','none','base'
'afg_tilla','afg','tilla','none','base'
'alb_frang ar','alb','frang ar','none','base'
'alb_lek','alb','lek','none','base'
'arg_argentino','arg','argentino','none','base'
'arg_centavo','arg','centavo','none','base'
'arg_peso','arg','peso','none','base'
'aus_crown','aus','crown','none','base'
'aus_florin','aus','florin','none','base'
'aus_penny','aus','penny','none','base'
'aus_shilling','aus','shilling','none','base'
'aus_sovereign','aus','sovereign','none','base'
'aut_dukat','aut','dukat','none','base'
'aut_florin','aut','florin','none','base'
'aut_kreuzer','aut','kreuzer','none','base'
'aut_krone','aut','krone','none','base'
'aut_schilling','aut','schilling','none','base'
'aut_vereinsthaler','aut','vereinsthaler','none','base'
'bel_centime','bel','centime','none','base'
'bel_franc','bel','franc','none','base'
'bgr_lev','bgr','lev','none','base'
'bgr_stotinka','bgr','stotinka','none','base'
'bmu_crown','bmu','crown','none','base'
'bol_boliviano','bol','boliviano','none','base'
'bol_centavo','bol','centavo','none','base'
'bol_escudo','bol','escudo','none','base'
'bol_melgarejo','bol','melgarejo','none','base'
'bol_onza','bol','onza','none','base'
'bol_sol','bol','sol','none','base'
'bra_real','bra','real','none','base'
'can_cent','can','cent','none','base'
'can_dollar','can','dollar','none','base'
'can_sovereign','can','sovereign','none','base'
'che_franc','che','franc','none','base'
'chl_centavo','chl','centavo','none','base'
'chl_decimo','chl','decimo','none','base'
'chl_peso','chl','peso','none','base'
'chn_cent','chn','cent','none','base'
'chn_chio','chn','chio','none','base'
'chn_dollar','chn','dollar','none','base'
'chn_yuan','chn','yuan','none','base'
'col_centavo','col','centavo','none','base'
'col_decimo','col','decimo','none','base'
'col_peso','col','peso','none','base'
'col_real','col','real','none','base'
'com_franc','com','franc','none','base'
'cri_centavo','cri','centavo','none','base'
'cri_colon','cri','colon','none','base'
'cri_escudo','cri','escudo','none','base'
'cri_onza','cri','onza','none','base'
'cri_peso','cri','peso','none','base'
'csk_dukat','csk','dukat','none','base'
'csk_koruna','csk','koruna','none','base'
'cub_centavo','cub','centavo','none','base'
'cub_peso','cub','peso','none','base'
'cuw_gulden','cuw','gulden','none','base'
'cyp_piastre','cyp','piastre','none','base'
'deu_mark','deu','mark','none','base'
'deu_pfennig','deu','pfennig','none','base'
'dnk_christian d\'or','dnk','christian d\'or','none','base'
'dnk_krone','dnk','krone','none','base'
'dnk_ore','dnk','ore','none','base'
'ecu_centavo','ecu','centavo','none','base'
'ecu_condor','ecu','condor','none','base'
'ecu_decimo','ecu','decimo','none','base'
'ecu_sucre','ecu','sucre','none','base'
'egy_ghirsh','egy','ghirsh','none','base'
'egy_pound','egy','pound','none','base'
'eri_centisimo','eri','centisimo','none','base'
'eri_lira','eri','lira','none','base'
'eri_tallero','eri','tallero','none','base'
'esp_centimo','esp','centimo','none','base'
'esp_escudo','esp','escudo','none','base'
'esp_peseta','esp','peseta','none','base'
'esp_real','esp','real','none','base'
'est_kroon','est','kroon','none','base'
'eth_birr','eth','birr','none','base'
'eth_gersh','eth','gersh','none','base'
'eth_santeem','eth','santeem','none','base'
'eth_wark','eth','wark','none','base'
'fin_markka','fin','markka','none','base'
'fin_pennia','fin','pennia','none','base'
'fji_florin','fji','florin','none','base'
'fji_penny','fji','penny','none','base'
'fji_shilling','fji','shilling','none','base'
'fra_centime','fra','centime','none','base'
'fra_franc','fra','franc','none','base'
'gbr_crown','gbr','crown','none','base'
'gbr_dollar','gbr','trade dollar','none','base'
'gbr_florin','gbr','florin','none','base'
'gbr_penny','gbr','penny','none','base'
'gbr_pound','gbr','pound','none','base'
'gbr_shilling','gbr','shilling','none','base'
'gbr_sovereign','gbr','sovereign','none','base'
'grc_drachma','grc','drachma','none','base'
'grc_lepton','grc','lepton','none','base'
'gtm_centavo','gtm','centavo','none','base'
'gtm_centimo','gtm','centimo','none','base'
'gtm_peso','gtm','peso','none','base'
'gtm_quetzal','gtm','quetzal','none','base'
'gtm_real','gtm','real','none','base'
'haw_cent','haw','cent','none','base'
'haw_dollar','haw','dollar','none','base'
'hkg_cent','hkg','cent','none','base'
'hkg_dollar','hkg','dollar','none','base'
'hnd_centavo','hnd','centavo','none','base'
'hnd_lempira','hnd','lempira','none','base'
'hnd_peso','hnd','peso','none','base'
'hti_centime','hti','centime','none','base'
'hti_gourde','hti','gourde','none','base'
'hun_dukat','hun','dukat','none','base'
'hun_forint','hun','forint','none','base'
'hun_korona','hun','korona','none','base'
'hun_krajczar','hun','krajczar','none','base'
'hun_pengo','hun','pengo','none','base'
'ind_anna','ind','anna','none','base'
'ind_mohur','ind','mohur','none','base'
'ind_rupee','ind','rupee','none','base'
'ind_sovereign','ind','sovereign','none','base'
'irl_crown','irl','crown','none','base'
'irl_florin','irl','florin','none','base'
'irl_shilling','irl','shilling','none','base'
'irn_dinar','irn','dinar','none','base'
'irn_pahlavi','irn','pahlavi','none','base'
'irn_qiran','irn','qiran','none','base'
'irn_rial','irn','rial','none','base'
'irn_shahi','irn','shahi','none','base'
'irn_toman','irn','toman','none','base'
'irq_fils','irq','fils','none','base'
'irq_riyal','irq','riyal','none','base'
'isl_krona','isl','krona','none','base'
'isr_pound','isr','pound','none','base'
'isr_pruta','isr','pruta','none','base'
'ita_centesimo','ita','centesimo','none','base'
'ita_lira','ita','lira','none','base'
'jam_penny','jam','penny','none','base'
'jpn_dollar','jpn','trade dollar','none','base'
'jpn_sen','jpn','sen','none','base'
'jpn_yen','jpn','yen','none','base'
'khm_centime','khm','centime','none','base'
'khm_franc','khm','franc','none','base'
'khm_piastre','khm','piastre','none','base'
'kor_chon','kor','chon','none','base'
'kor_whan','kor','whan','none','base'
'kor_won','kor','won','none','base'
'kor_yang','kor','yang','none','base'
'kwt_dinar','kwt','dinar','none','base'
'lbn_piastre','lbn','piastre','none','base'
'lbr_cent','lbr','cent','none','base'
'lbr_dollar','lbr','dollar','none','base'
'lie_frank','lie','frank','none','base'
'lie_krone','lie','krone','none','base'
'lie_thaler','lie','thaler','none','base'
'ltu_litas','ltu','litas','none','base'
'lux_franc','lux','franc','none','base'
'lva_lats','lva','lats','none','base'
'mac_pataca','mac','pataca','none','base'
'mar_dirham','mar','dirham','none','base'
'mar_franc','mar','franc','none','base'
'mar_rial','mar','rial','none','base'
'mex_centavo','mex','centavo','none','base'
'mex_escudo','mex','escudo','none','base'
'mex_peso','mex','peso','none','base'
'mex_real','mex','real','none','base'
'mmr_anna','mmr','anna','none','base'
'mmr_kyat','mmr','kyat','none','base'
'mmr_rupee','mmr','rupee','none','base'
'mng_mongo','mng','mongo','none','base'
'mng_tukhrik','mng','tukhrik','none','base'
'nfl_cent','nfl','cent','none','base'
'nfl_dollar','nfl','dollar','none','base'
'nld_cents','nld','cent','none','base'
'nld_dukaat','nld','dukaat','none','base'
'nld_gulden','nld','gulden','none','base'
'nor_krone','nor','krone','none','base'
'nor_ore','nor','ore','none','base'
'nor_skilling','nor','skilling','none','base'
'nor_speciedaler','nor','speciedaler','none','base'
'npl_paisa','npl','paisa','none','base'
'npl_rupee','npl','rupee','none','base'
'nzl_crown','nzl','crown','none','base'
'nzl_florin','nzl','florin','none','base'
'nzl_penny','nzl','penny','none','base'
'nzl_shilling','nzl','shilling','none','base'
'pan_balboa','pan','balboa','none','base'
'pan_centesimo','pan','centesimo','none','base'
'per_dinero','per','dinero','none','base'
'per_escudo','per','escudo','none','base'
'per_libra','per','libra','none','base'
'per_peseta','per','peseta','none','base'
'per_real','per','real','none','base'
'per_sol','per','sol','none','base'
'phl_centavo','phl','centavo','none','base'
'phl_centimo','phl','centimo','none','base'
'phl_peso','phl','peso','none','base'
'pol_zloty','pol','zloty','none','base'
'prt_centavo','prt','centavo','none','base'
'prt_escudo','prt','escudo','none','base'
'prt_real','prt','real','none','base'
'pry_peso','pry','peso','none','base'
'rou_banu','rou','banu','none','base'
'rou_leu','rou','leu','none','base'
'rus_kopek','rus','kopek','none','base'
'rus_ruble','rus','ruble','none','base'
'sau_guinea','sau','guinea','none','base'
'sau_riyal','sau','riyal','none','base'
'sau_sovereign','sau','sovereign','none','base'
'slv_centavo','slv','centavo','none','base'
'slv_colon','slv','colon','none','base'
'slv_peso','slv','peso','none','base'
'srb_dinar','srb','dinar','none','base'
'srb_para','srb','para','none','base'
'sur_gulden','sur','gulden','none','base'
'swe_carolin','swe','carolin','none','base'
'swe_dukat','swe','dukat','none','base'
'swe_krona','swe','krona','none','base'
'swe_ore','swe','ore','none','base'
'swe_riksdaler riksmynt','swe','riksdaler riksmynt','none','base'
'syr_lira','syr','lira','none','base'
'syr_piastre','syr','piastre','none','base'
'syr_pound','syr','pound','none','base'
'tha_baht','tha','baht','none','base'
'tha_salung','tha','salung','none','base'
'tha_satang','tha','satang','none','base'
'tur_kurus','tur','kurus','none','base'
'tur_kurusmdl','tur','kurus (monnaies de luxe)','none','base'
'tur_lira','tur','lira','none','base'
'tur_para','tur','para','none','base'
'uar_ghirsh','uar','ghirsh','none','base'
'uar_pound','uar','pound','none','base'
'ury_centesimo','ury','centesimo','none','base'
'ury_peso','ury','peso','none','base'
'usa_cent','usa','cent','none','base'
'usa_dollar','usa','dollar','none','base'
'ven_bolivar','ven','bolivar','none','base'
'ven_centavo','ven','centavo','none','base'
'ven_centimo','ven','centimo','none','base'
'ven_real','ven','real','none','base'
'ven_venezolano','ven','venezolano','none','base'
'zaf_cent','zaf','cent','none','base'
'zaf_florin','zaf','florin','none','base'
'zaf_penny','zaf','penny','none','base'
'zaf_pond','zaf','pond','none','base'
'zaf_pound','zaf','pound','none','base'
'zaf_rand','zaf','rand','none','base'
'zaf_shilling','zaf','shilling','none','base'
'zaf_sovereign','zaf','sovereign','none','base'
