value_id,name
'afg_afghani_fractional_1_2','1/2'
'afg_afghani_fractional_2_1_2','2-1/2'
'afg_afghani_fractional_2_1_2','2 1/2'
'afg_afghani_fractional_2_1_2','5/2'
'afg_rupee_fractional_2_1_2','2-1/2'
'afg_rupee_fractional_2_1_2','2 1/2'
'afg_rupee_fractional_2_1_2','5/2'
'afg_tilla_fractional_1_2','1/2'
'afg_tilla_fractional_2_1_2','2-1/2'
'afg_tilla_fractional_2_1_2','2 1/2'
'afg_tilla_fractional_2_1_2','5/2'
'arg_argentino_fractional_1_2','1/2'
'aus_sovereign_fractional_1_2','1/2'
'aut_florin_fractional_1_4','1/4'
'aut_krone_fractional_1_2','1/2'
'aut_schilling_fractional_1_2','1/2'
'bol_boliviano_fractional_1_10','1/10'
'bol_boliviano_fractional_1_2','1/2'
'bol_boliviano_fractional_1_20','1/20'
'bol_boliviano_fractional_1_5','1/5'
'bol_escudo_fractional_1_2','1/2'
'bol_melgarejo_fractional_1_2','1/2'
'bol_melgarejo_fractional_1_4','1/4'
'bol_sol_fractional_1_2','1/2'
'bol_sol_fractional_1_4','1/4'
'can_cent_10','dime'
'can_cent_10','dimes'
'can_cent_25','quarter'
'can_cent_25','quarters'
'can_cent_5','nickel'
'can_cent_5','nickels'
'can_cent_50','half'
'can_cent_50','halves'
'che_franc_fractional_1_2','1/2'
'chl_decimo_fractional_1_2','1/2'
'chn_yuan_fractional_1_2','1/2'
'col_decimo_fractional_1_2','1/2'
'col_decimo_fractional_1_4','1/4'
'col_peso_fractional_2_1_2','2-1/2'
'col_peso_fractional_2_1_2','2 1/2'
'col_peso_fractional_2_1_2','5/2'
'col_real_fractional_1_2','1/2'
'col_real_fractional_1_4','1/4'
'cri_escudo_fractional_1_2','1/2'
'cri_onza_fractional_1_2','1/2'
'cuw_gulden_fractional_1_10','1/10'
'cuw_gulden_fractional_1_4','1/4'
'cuw_gulden_fractional_2_1_2','2-1/2'
'cuw_gulden_fractional_2_1_2','2 1/2'
'cuw_gulden_fractional_2_1_2','5/2'
'cyp_piastre_fractional_4_1_2','4-1/2'
'cyp_piastre_fractional_4_1_2','4 1/2'
'cyp_piastre_fractional_4_1_2','9/2'
'ecu_decimo_fractional_1_2','1/2'
'ecu_sucre_fractional_1_2','1/2'
'eth_birr_fractional_1_2','1/2'
'eth_birr_fractional_1_4','1/4'
'eth_birr_fractional_1_8','1/8'
'eth_wark_fractional_1_2','1/2'
'eth_wark_fractional_1_4','1/4'
'fji_penny_6','sixpence'
'gbr_crown_fractional_1_2','1/2'
'gbr_penny_3','threepence'
