purchase_id,coin_id,purchase_date,unit_price,purchase_quantity,specific_coin
5,'usa_cent_10_2','2025-06-30',2.6400000000,25,NULL
6,'fra_franc_100_1','2025-07-03',11.9500000000,1,1
7,'fra_franc_10_1','2025-07-04',8.0000000000,1,2
8,'deu_mark_10_1','2025-07-05',373.9800000000,1,3
10,'usa_cent_10_2','2025-07-08',2.6900000000,3,NULL
11,'usa_cent_25_2','2025-07-12',7.0800000000,10,NULL
12,'usa_cent_10_3','2025-07-12',2.5600000000,48,NULL
13,'usa_cent_10_3','2025-07-12',0.1000000000,1,NULL
14,'usa_cent_25_1','2025-07-12',6.4300000000,4,NULL
15,'usa_cent_25_2','2025-07-12',6.4300000000,4,NULL
16,'usa_cent_25_3','2025-07-12',6.4300000000,28,NULL
17,'usa_cent_50_1','2025-07-12',12.8600000000,7,NULL
18,'usa_cent_50_2','2025-07-12',12.8600000000,3,NULL
19,'usa_cent_25_1','2025-07-12',7.0800000000,2,NULL
20,'usa_cent_10_2','2025-07-12',2.5600000000,1,NULL
21,'ita_lira_1_1','2025-07-24',6.7900000000,1,4
22,'usa_cent_25_3','2025-07-30',7.0800000000,1,NULL
23,'usa_cent_50_3','2025-08-05',13.7500000000,1,NULL
24,'usa_cent_50_5','2025-08-05',13.7500000000,1,NULL
25,'che_franc_2_2','2025-08-05',10.0000000000,1,5
26,'che_franc_fractional_1_2_3','2025-10-01',4.0000000000,1,6
27,'usa_cent_10_2','2025-12-09',4.2500000000,5,NULL
28,'usa_cent_50_1','2025-12-09',21.2500000000,1,NULL
29,'che_franc_1_3','2025-12-09',7.0000000000,1,7
30,'che_franc_5_2','2026-01-07',26.3800000000,1,8
31,'pol_zloty_10_1','2026-01-08',60.4200000000,2,9
34,'usa_cent_10_2','2026-01-30',6.0000000000,2,NULL
36,'usa_dollar_1_2','2026-02-05',57.0000000000,1,NULL
37,'usa_dollar_1_2','2026-02-12',57.0000000000,2,NULL
38,'usa_cent_10_3','2026-02-20',5.6500000000,1,NULL
39,'usa_cent_50_5','2026-03-05',26.0500000000,1,NULL
