coin_id,face_value_id,gross_weight,fineness,precious_metal_weight,tags,metal,name,series
'can_maple_1_gram_1','can_maple_1_gram',1.0000000000,0.9999000000,0.0321507500,'none','au','gold','bullion'
'can_maple_1_oz_1','can_maple_1_oz',31.1100000000,0.9999000000,1.0000000000,'none','ag','silver','bullion'
'can_maple_1_oz_2','can_maple_1_oz',31.1100000000,0.9999000000,1.0000000000,'none','au','gold','bullion'
'can_maple_1_oz_3','can_maple_1_oz',31.1100000000,0.9999000000,1.0000000000,'none','pt','platinum','bullion'
'can_maple_1_oz_4','can_maple_1_oz',31.1100000000,0.9995000000,1.0000000000,'none','pt','platinum (old purity)','bullion'
'can_maple_1_oz_5','can_maple_1_oz',31.1100000000,0.9995000000,1.0000000000,'none','pd','palladium','bullion'
'can_maple_fractional_1_10_oz_1','can_maple_fractional_1_10_oz',3.1110000000,0.9999000000,0.1000000000,'none','au','gold','bullion'
'can_maple_fractional_1_10_oz_2','can_maple_fractional_1_10_oz',3.1110000000,0.9995000000,0.1000000000,'none','pt','platinum (old purity)','bullion'
'can_maple_fractional_1_20_oz_1','can_maple_fractional_1_20_oz',1.5555000000,0.9999000000,0.0500000000,'none','au','gold','bullion'
'can_maple_fractional_1_20_oz_2','can_maple_fractional_1_20_oz',1.5555000000,0.9995000000,0.0500000000,'none','pt','platinum (old purity)','bullion'
'can_maple_fractional_1_2_oz_1','can_maple_fractional_1_2_oz',15.5550000000,0.9999000000,0.5000000000,'none','au','gold','bullion'
'can_maple_fractional_1_2_oz_2','can_maple_fractional_1_2_oz',15.5550000000,0.9995000000,0.5000000000,'none','pt','platinum (old purity)','bullion'
'can_maple_fractional_1_4_oz_1','can_maple_fractional_1_4_oz',7.7775000000,0.9999000000,0.2500000000,'none','au','gold','bullion'
'can_maple_fractional_1_4_oz_2','can_maple_fractional_1_4_oz',7.7775000000,0.9995000000,0.2500000000,'none','pt','platinum (old purity)','bullion'
'gbr_britannia_1_oz_1','gbr_britannia_1_oz',34.0500000000,0.9167000000,1.0000000000,'none','ag','silver','bullion'
'gbr_britannia_1_oz_2','gbr_britannia_1_oz',34.0500000000,0.9167000000,1.0000000000,'none','au','gold (old purity)','bullion'
'gbr_britannia_1_oz_3','gbr_britannia_1_oz',31.1100000000,0.9999000000,1.0000000000,'none','au','gold','bullion'
'gbr_britannia_1_oz_4','gbr_britannia_1_oz',31.1100000000,0.9995000000,1.0000000000,'none','pt','platinum','bullion'
'gbr_britannia_fractional_1_10_oz_1','gbr_britannia_fractional_1_10_oz',3.4050000000,0.9167000000,0.1000000000,'none','ag','silver','bullion'
'gbr_britannia_fractional_1_10_oz_2','gbr_britannia_fractional_1_10_oz',3.4050000000,0.9167000000,0.1000000000,'none','au','gold (old purity)','bullion'
'gbr_britannia_fractional_1_10_oz_3','gbr_britannia_fractional_1_10_oz',3.1100000000,0.9999000000,0.1000000000,'none','au','gold','bullion'
'gbr_britannia_fractional_1_10_oz_4','gbr_britannia_fractional_1_10_oz',3.1100000000,0.9995000000,0.1000000000,'none','pt','platinum','bullion'
'gbr_britannia_fractional_1_2_oz_1','gbr_britannia_fractional_1_2_oz',17.0250000000,0.9167000000,0.5000000000,'none','ag','silver','bullion'
