value_id,denomination_id,value,display_name,tags,series
'can_maple_1_gram','can_maple',0.5000000000,'1 gram maple','none','bullion'
'can_maple_1_oz','can_maple',50.0000000000,'1 oz maple','none','bullion'
'can_maple_fractional_1_10_oz','can_maple',5.0000000000,'1/10 oz maple','none','bullion'
'can_maple_fractional_1_20_oz','can_maple',1.0000000000,'1/20 oz maple','none','bullion'
'can_maple_fractional_1_2_oz','can_maple',20.0000000000,'1/2 oz maple','none','bullion'
'can_maple_fractional_1_4_oz','can_maple',10.0000000000,'1/4 oz maple','none','bullion'
'gbr_britannia_1_oz','gbr_britannia',100.0000000000,'1 oz britannia','none','bullion'
'gbr_britannia_fractional_1_10_oz','gbr_britannia',10.0000000000,'1/10 oz britannia','none','bullion'
'gbr_britannia_fractional_1_2_oz','gbr_britannia',50.0000000000,'1/2 oz britannia','none','bullion'
'gbr_britannia_fractional_1_4_oz','gbr_britannia',25.0000000000,'1/4 oz britannia','none','bullion'
'mex_libertad_1_kilogram','mex_libertad',32.1500000000,'1 kilo libertad','none','bullion'
'mex_libertad_1_oz','mex_libertad',1.0000000000,'1 oz libertad','none','bullion'
'mex_libertad_2_oz','mex_libertad',2.0000000000,'2 oz libertad','none','bullion'
'mex_libertad_5_oz','mex_libertad',5.0000000000,'5 oz libertad','none','bullion'
'mex_libertad_fractional_1_10_oz','mex_libertad',0.1000000000,'1/10 oz libertad','none','bullion'
'mex_libertad_fractional_1_20_oz','mex_libertad',0.0500000000,'1/20 oz libertad','none','bullion'
'mex_libertad_fractional_1_2_oz','mex_libertad',0.5000000000,'1/2 oz libertad','none','bullion'
'mex_libertad_fractional_1_4_oz','mex_libertad',0.2500000000,'1/4 oz libertad','none','bullion'
'usa_bullion_1_oz','usa_bullion',1.0000000000,'1 oz bullion','none','bullion'
'usa_bullion_fractional_1_10_oz','usa_bullion',0.1000000000,'1/10 oz bullion','none','bullion'
'usa_bullion_fractional_1_2_oz','usa_bullion',0.5000000000,'1/2 oz bullion','none','bullion'
'usa_bullion_fractional_1_4_oz','usa_bullion',0.2500000000,'1/4 oz bullion','none','bullion'
'zaf_krugerrand_1_oz','zaf_krugerrand',1.0000000000,'1 oz krugerrand','none','bullion'
'zaf_krugerrand_fractional_1_10_oz','zaf_krugerrand',0.1000000000,'1/10 oz krugerrand','none','bullion'
'zaf_krugerrand_fractional_1_2_oz','zaf_krugerrand',0.5000000000,'1/2 oz krugerrand','none','bullion'
'zaf_krugerrand_fractional_1_4_oz','zaf_krugerrand',0.2500000000,'1/4 oz krugerrand','none','bullion'
