value_id,name
'can_maple_1_gram','1 gram maple'
'can_maple_1_gram','1'
'can_maple_1_oz','1 oz maple'
'can_maple_1_oz','1'
'can_maple_fractional_1_10_oz','1/10 oz maple'
'can_maple_fractional_1_10_oz','1/10'
'can_maple_fractional_1_20_oz','1/20 oz maple'
'can_maple_fractional_1_20_oz','1/20'
'can_maple_fractional_1_2_oz','1/2 oz maple'
'can_maple_fractional_1_2_oz','1/2'
'can_maple_fractional_1_4_oz','1/4 oz maple'
'can_maple_fractional_1_4_oz','1/4'
'mex_libertad_fractional_1_20_oz','1/20'
'mex_libertad_fractional_1_20_oz','1/20 oz'
'mex_libertad_fractional_1_20_oz','1/20 oz libertad'
'mex_libertad_fractional_1_10_oz','1/10'
'mex_libertad_fractional_1_10_oz','1/10 oz'
'mex_libertad_fractional_1_10_oz','1/10 oz libertad'
'mex_libertad_fractional_1_4_oz','1/4'
'mex_libertad_fractional_1_4_oz','1/4 oz'
'mex_libertad_fractional_1_4_oz','1/4 oz libertad'
'mex_libertad_fractional_1_2_oz','1/2'
'mex_libertad_fractional_1_2_oz','1/2 oz'
'mex_libertad_fractional_1_2_oz','1/2 oz libertad'
'mex_libertad_1_oz','1'
'mex_libertad_1_oz','1 oz'
'mex_libertad_1_oz','1 oz libertad'
'mex_libertad_2_oz','2'
'mex_libertad_2_oz','2 oz'
'mex_libertad_2_oz','2 oz libertad'
'mex_libertad_5_oz','5'
'mex_libertad_5_oz','5 oz'
'mex_libertad_5_oz','5 oz libertad'
'mex_libertad_1_kilogram','1'
'mex_libertad_1_kilogram','1 kilo'
'mex_libertad_1_kilogram','1 kilogram'
'mex_libertad_1_kilogram','1 kilo libertad'
'mex_libertad_1_kilogram','1 kilogram libertad'
'gbr_britannia_1_oz','1 oz britannia'
'gbr_britannia_1_oz','1'
'gbr_britannia_fractional_1_10_oz','1/10 oz britannia'
'gbr_britannia_fractional_1_10_oz','1/10'
'gbr_britannia_fractional_1_2_oz','1/2 oz britannia'
'gbr_britannia_fractional_1_2_oz','1/2'
'gbr_britannia_fractional_1_4_oz','1/4 oz britannia'
'gbr_britannia_fractional_1_4_oz','1/4'
'usa_bullion_1_oz','1 oz bullion'
'usa_bullion_1_oz','1'
'usa_bullion_fractional_1_10_oz','1/10 oz bullion'
'usa_bullion_fractional_1_10_oz','1/10'
'usa_bullion_fractional_1_2_oz','1/2 oz bullion'
'usa_bullion_fractional_1_2_oz','1/2'
'usa_bullion_fractional_1_4_oz','1/4 oz bullion'
'usa_bullion_fractional_1_4_oz','1/4'
'zaf_krugerrand_1_oz','1 oz krugerrand'
'zaf_krugerrand_1_oz','1'
'zaf_krugerrand_fractional_1_10_oz','1/10 oz krugerrand'
'zaf_krugerrand_fractional_1_10_oz','1/10'
'zaf_krugerrand_fractional_1_2_oz','1/2 oz krugerrand'
'zaf_krugerrand_fractional_1_2_oz','1/2'
'zaf_krugerrand_fractional_1_4_oz','1/4 oz krugerrand'
'zaf_krugerrand_fractional_1_4_oz','1/4'
